latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
58.6216652670468,8.91801962425717,Eier (Selveier),4900,,2652778,77
58.1931,8.0858,Eier (Selveier),4656,,4392851,74
58.0747587935675,7.82697471898839,Eier (Selveier),4640,,7030746,183
60.2478,11.6844,Eier (Selveier),2100,,4295204,88
58.1686,7.9874,Eier (Selveier),4630,,5408538,78
58.8305822824395,5.72739131645731,Eier (Selveier),4320,,4735192,83
60.5278166963663,4.87363161828958,Eier (Selveier),5337,,3501080,104
60.7142031733148,10.8577015320205,Eier (Selveier),2849,,5882697,76
60.3578,5.1148,Andel,5353,,3387987,46
60.7206161868843,10.5893375125652,Eier (Selveier),2833,,3411000,86
60.3613007106071,5.12202286095429,Eier (Selveier),5354,,7689302,163
61.9323774365874,5.08128829222744,Eier (Selveier),6700,,4391575,126
59.7168780854746,10.810424857995,Eier (Selveier),1406,Rekkehus,12041562,156
59.7647,10.8071,Eier (Selveier),1415,Tomannsbolig,10826370,149
59.8995,10.5572,Eier (Selveier),1365,,20822609,270
59.7225627770651,10.1485263662141,Eier (Selveier),3032,,6946667,126
59.8996,9.9362,Eier (Selveier),3340,,4051400,106
59.6591,10.9467,Eier (Selveier),1409,,6988869,154
59.8912082365109,10.5254229180834,Eier (Selveier),1337,Leilighet,5131390,42
60.7743,10.6347,Eier (Selveier),2827,,3266342,85
60.802097493717,11.0377952373601,Eier (Selveier),2316,Leilighet,4612412,69
60.7142031733148,10.8577015320205,Eier (Selveier),2849,,6695762,93
61.153,10.3761,Eier (Selveier),2625,,5995092,145
58.1515048898847,8.07775671493858,Eier (Selveier),4638,,5302587,88
58.0408574885246,7.50022827911291,Eier (Selveier),4507,,4436017,118
58.8171304818014,9.08200747741591,Eier (Selveier),4980,,2394567,75
58.0788,7.8652,Eier (Selveier),4643,Enebolig,7927420,249
58.7468542462714,8.87013981569658,Eier (Selveier),4985,,2495512,93
58.2616616736617,7.95238383052063,Eier (Selveier),4706,,4410710,109
59.8031,5.5081,Eier (Selveier),5414,,5179920,131
58.6491156460458,9.12491486985234,Eier (Selveier),4912,,6705000,150
60.4044856131555,5.17967435003333,Eier (Selveier),5303,,4060099,93
62.038103444218,5.3462450869312,Eier (Selveier),6740,,3741250,106
60.3643455843385,5.33994563183686,Eier (Selveier),5073,,6350646,90
59.87,10.5375,Eier (Selveier),1397,,11445119,133
59.7512,10.1298,Eier (Selveier),3027,,5838801,74
59.8912082365109,10.5254229180834,Eier (Selveier),1337,Leilighet,4731330,42
59.8912082365109,10.5254229180834,Eier (Selveier),1337,Leilighet,5331390,42
59.8912082365109,10.5254229180834,Eier (Selveier),1337,Leilighet,8958820,80
59.2324513639062,10.9862803152941,Eier (Selveier),1618,,4813920,104
59.6822,10.6621,Eier (Selveier),1445,,10135509,222
60.3096,5.3521,Eier (Selveier),5222,,9022269,149
60.1987007986736,5.47453014640108,Eier (Selveier),5200,,3636170,96
60.3818975319785,5.31940536778207,Eier (Selveier),5058,,6046014,69
60.2439763197049,11.679819316976,Eier (Selveier),2100,,3227916,66
60.2416,11.6921,Eier (Selveier),2100,,3046667,62
59.661,10.7947,Eier (Selveier),1430,,5116804,60
58.1529310329238,8.10623405150788,Eier (Selveier),4638,,6555872,132
59.5978,10.7661,Eier (Selveier),1540,,4732872,70
58.158,8.0973,Eier (Selveier),4638,,12068170,274
60.2523076918452,9.93346387682368,Eier (Selveier),3534,,2701342,67
